,mortality,temp,chem1,chem2,particle size
101,208.26,58.9,10.55,63.41,67.68
102,193.27,65.25,13.33,61.86,58.62
103,196.53,62.79,11.42,63.13,57.02
104,200.71,71.43,13.62,69.46,64.58
105,193.93,68.72,12.02,72.74,63.25
106,182.12,66.96,10.46,71.28,56.92
107,176.6,75.68,7.81,61.84,46.59
108,167.46,68.57,8.25,57.08,49.2
109,177.2,68.62,6.46,45.89,48.55
110,161.35,69.61,7.51,51.25,39.16
111,166.63,71.89,7.85,55.7,43.59
112,164.15,73.66,8.41,64.06,43.26
113,163.9,70.67,6.53,45.08,35.86
114,172.55,69.9,7.49,49.33,40.4
115,171.58,80.23,7.42,57.4,44.84
116,163.03,67.16,3.89,38.91,28.72
117,177.76,81.71,7.99,59.88,44.4
118,159.69,66.2,3.68,33.71,24.24
119,186.44,80.79,6.98,51.39,37.13
120,161.11,84.12,5.23,43.1,38.01
121,166.05,75.52,5.53,46.2,32.22
122,159.73,81.55,5.22,44.08,32.86
123,165.15,75.88,4.69,46.01,25.83
124,174.23,82.45,5.42,52.66,37.95
125,167.55,84.86,6.44,62.06,36.93
126,168.97,84.93,5.47,40.58,34.03
127,172.84,79.73,4.92,40.17,27.68
128,182.28,97.2,10.07,68.88,52.62
129,179.8,85.97,5.57,45.65,36.51
130,162.85,82,4.74,39.35,33.53
131,163.88,81.95,6.59,48.63,39.94
132,157.88,83.56,6.22,47.56,36.85
133,164.12,86.14,6.53,48.4,38.93
134,161.41,77.63,4.4,38.19,24.55
135,164.72,77.19,7.67,63.1,48.89
136,166.39,82.16,8.39,49.32,48.69
137,160.66,78.57,7.42,58.27,42.71
138,160.69,78.92,8.1,48.86,42.34
139,157.7,74.47,9.12,53.6,50.98
140,172.85,71.01,10.04,54.02,56.67
141,164.79,72.2,10.56,56.86,61.51
142,181.14,72.59,14.36,66.42,73.11
143,176.93,65.8,9.08,49.52,57.48
144,171.27,64.16,10.55,43.11,56.63
145,183.24,73.18,13.84,62.87,67.47
146,182.28,74.71,16.64,68.35,71.64
147,178.82,50.91,8.04,36.16,54.52
148,187.84,66.46,12.8,57.54,74.98
149,201.02,75.48,17.6,76.33,74.95
150,197.38,67.78,10.18,51.98,57.3
151,222.56,56.68,11.13,48.34,71.59
152,229.32,70.08,14.21,62.29,69.8
153,231.73,58.58,8.14,41.72,47.92
154,216.67,67.7,11.7,53.87,63.78
155,213.9,63.88,10.32,44.98,59.76
156,181.94,59.07,6.63,37.78,40.04
157,175.47,68.55,9.27,49.08,47.44
158,181.35,68.35,7.46,43.6,42.77
159,160.02,65.6,7.64,43.89,41.51
160,172.3,58.75,5.41,33.93,31.86
161,161.41,65.67,7.08,47.42,41.68
162,166.95,59.85,5.21,40.06,29.07
163,166.68,63.95,5.18,39.44,30.83
164,173.35,77.14,7.57,44.2,44.48
165,142.13,66.59,5.26,44.12,38.35
166,181.07,72.86,5.67,37.9,30.98
167,157.49,67.87,4.71,37.36,37.46
168,166.52,73.61,5.75,43.9,39.57
169,166.77,71.45,5.41,44.78,40.28
170,149.87,69.97,4,31.43,31.64
171,156.98,78.49,5.65,41.72,36.16
172,158.29,72.52,3.69,33.15,26.97
173,160.15,84.84,6.96,48.32,45.76
174,155.78,72.97,4.33,32.45,28.17
175,176.36,96.23,8.23,59.28,47.48
176,160.9,81.68,4.89,42.78,37.47
177,167.1,83.17,5.33,46.66,38.23
178,152.2,79.42,3.46,32.73,30.47
179,155.68,78.64,5.14,40.27,32.5
180,163.24,86.44,6.21,53.67,42.1
181,164.6,82.08,4.78,36.3,33.92
182,155.52,80.73,4.28,34.62,30.54
183,160.35,87.68,7.36,53.63,45.7
184,151.29,81.44,5.76,42.89,37.03
185,150.07,77.34,3.88,40.86,30.5
186,152.14,75.18,4.2,41.74,33.47
187,158.47,75.85,4.9,36.99,36.95
188,163.5,74.24,6.1,47,41.08
189,171.61,87.78,11.14,56.06,56.16
190,157.08,69.09,5.59,48.77,41.31
191,163.18,82.08,13.21,65.38,66.01
192,160.43,79.84,10.39,62.37,56.46
193,165.24,82.8,13.33,62.73,62.06
194,161.72,73.56,10.34,51.96,54.2
195,173.22,73.74,13.51,69.76,73.04
196,161.88,63.94,7.89,43.94,45.54
197,167.39,63.08,8.88,45.21,53.33
198,167.56,64.79,12.47,57.07,67.77
199,181.65,75.45,16.17,69.89,75.61
200,167.28,67.12,13.99,60.49,71.46
201,177.09,69.12,11.82,53.8,63.29
202,183.34,61.56,8.9,51.29,62.04
203,184.83,51.22,5.07,31.75,38.94
204,173.11,64.28,11.93,55.13,63.31
205,164.21,65.41,11.94,56.13,67.74
206,164.73,65.45,13.15,53.14,73.76
207,170.84,65.68,12.8,59.32,70.13
208,178.25,72.25,11.26,54.52,65.87
209,170.86,63.18,9.4,54.74,53.98
210,179.93,71.55,8.58,49.21,52.55
211,171.46,67.3,8.16,47.75,47.86
212,186.67,59.64,7.12,43.43,46.35
213,176.96,73.43,11,65.56,63.72
214,173.23,61.91,3.95,39.7,30.78
215,158.69,64.85,4.66,39.72,30.02
216,171.68,74.43,5.81,53.21,38.49
217,173.06,74.39,5.96,63.38,42.06
218,161.24,70.8,5.46,41.42,37.61
219,171.54,72.49,4.53,38.05,40.2
220,161.77,70.06,3.69,32.85,29.69
221,174.47,70.25,3.64,31.73,29.53
222,158.66,66.51,3.26,28.69,25.86
223,163.65,83.11,5.48,50.9,38.95
224,159.23,71.29,3.38,31.49,25.7
225,159.86,75.49,3.46,33.2,27.84
226,160.61,80.98,4.77,39.95,35.82
227,157.46,83.52,5.28,43.78,35.45
228,168.85,88.27,6.79,47.74,42.62
229,149.94,77.88,2.9,34.51,25.63
230,162.14,82.23,5.08,44.71,33.96
231,161.36,90.75,6.1,58.59,42.15
232,156.82,86.58,4.88,46.65,37.38
233,165.19,84.8,4.55,34.53,30.58
234,143.54,80.32,3.04,31.78,23.68
235,156.63,80.23,4.88,42.6,33.1
236,153.04,82.88,4.71,41.32,36.67
237,162.56,85,6.54,50.48,38.6
238,162.78,88.96,7.71,48.3,45.79
239,156.23,78.11,5.41,37.68,33.46
240,161.4,85.06,9.29,58.03,50.93
241,158.36,76.39,6.08,42.05,41.47
242,163.81,74.23,6.38,41.2,28.15
243,166.34,76.42,9.17,46.91,54.62
244,167.58,83.68,12.72,62.75,59.46
245,166.71,67.62,6.84,41.51,35.47
246,164.25,64.36,9.72,48.43,52.77
247,161.82,81.7,12.82,50.42,65.32
248,172.43,72.67,14,61.67,66.49
249,163.31,73.59,10.95,51.33,62.46
250,178.76,69.09,15.21,66.99,60.38
251,169.35,66.75,13.18,50.91,72.83
252,173.25,70.03,13.7,57.13,53.78
253,181.39,69.53,19.4,72.64,81.09
254,194.52,55.33,5.92,35.23,44.05
255,191.33,63.17,13,54.4,65.68
256,195.64,66,10.2,43.84,45.98
257,205.55,80.86,19.76,72.79,77.13
258,194.36,69.57,15.12,70.65,69.77
259,203.44,54.85,8.72,37.88,51.34
260,206.26,64.21,10.06,47.48,43.97
261,182.67,62.12,9.13,48.17,45.11
262,179.82,66.21,9,46.78,49.49
263,165.7,69.77,13.78,73.26,68.46
264,168.03,60.84,6.19,35.12,32.69
265,169.43,59.44,8,43.26,35.97
266,163.16,65.65,7.33,40.38,40.71
267,164.59,64.09,5.23,35.99,27.56
268,171.27,60.63,7.59,38.54,38.52
269,159.94,60.19,4.46,36.72,24.95
270,169.98,63.92,5.71,40.83,28.94
271,151.73,66.83,4.82,42.55,27.64
272,154.42,69.48,5.09,39.92,34.4
273,158.4,74.17,6.37,54.81,38.51
274,150.37,69.29,4.07,31.16,27.59
275,165.24,70.86,5.14,42.34,27.26
276,150.85,75.34,4,29.43,30.53
277,155.81,72.66,4.7,34.31,28.93
278,142.41,74.91,4.27,31.55,31.07
279,155.73,70.17,4.34,36.52,21.8
280,160,81.41,6.47,45.38,39.47
281,158.61,82.03,5.44,44.36,32.09
282,153.84,85.76,5,42.42,38.39
283,144.75,78.54,3.02,27.95,24.72
284,159.76,84.44,4.64,38.48,36.54
285,151.92,82.87,4.35,36.46,33.27
286,157.76,86.52,6.5,49.34,42.32
287,150.55,77.5,2.84,28.2,24.6
288,146.25,81.72,5.43,45.12,34.57
289,156.21,82.61,6.4,58.16,42.28
290,154.28,83.09,5.99,55.23,42.04
291,154.24,75.74,5.01,36.84,32.93
292,162.17,92.27,9.58,59.38,55.42
293,156.94,86.41,7.11,43.54,47.8
294,153.86,83.03,7.47,47.55,49.69
295,146.37,73.16,5.38,39.68,32.25
296,157.9,78.82,10.7,56.46,62.39
297,162.33,70.51,6.12,38.45,39.47
298,167.82,76.06,13.51,74.32,71.81
299,154.39,71.35,11.26,68.24,66.09
300,164.7,76.99,13.05,63.84,66.65
301,166.52,72.96,12.92,64.89,87.02
302,175.49,66.78,9.77,49.29,70.08
303,171.88,74.69,14.1,75.46,75.04
304,168.32,64.15,9.17,52.22,57.53
305,165.42,67.28,16.03,82.45,86.54
306,168.64,70.73,12.35,69.2,74.91
307,177.58,63.84,9.87,54.29,65.11
308,164.4,68.01,13.86,69.89,77.79
309,174.62,84.19,14.4,72.15,68.15
310,163.68,71.08,9.67,59.63,56.86
311,168.91,81.45,14.67,85.14,72.82
312,179.13,56.52,4.61,30.09,28.88
313,186.97,66.95,8.59,60.61,46.97
314,188.15,68.92,7.8,52.28,46.06
315,189.07,68.9,7.69,61.55,45.68
316,184,58.7,5.55,41.78,34.93
317,195.92,68.56,7.4,63.09,42.69
318,178.37,77.03,8.3,63.64,49.61
319,168.54,74.53,6.15,52.55,34.81
320,165.12,65.47,5.37,39.41,32.69
321,164.35,63.42,4.86,47.16,37.25
322,160.86,65.54,4.96,45.1,30.87
323,161.64,72.34,4.84,43.74,33.85
324,159.26,75.18,5.14,46,37.26
325,164.9,69.01,3.99,32.47,30.77
326,160.81,81.77,5.87,45.1,41.64
327,150.33,72.28,3.63,28.48,24.47
328,151.81,71.28,3.52,30.06,27.11
329,154.18,75.07,4.66,37.22,26.35
330,163.56,75.16,4.86,42.11,31.02
331,149.54,81.58,4.86,34.75,31.12
332,175.88,97.05,7.93,67.19,51.07
333,151.16,82.14,4.06,40.67,31.41
334,153.64,86.48,5.54,41.6,38.8
335,145.3,76.96,2.91,21.57,20.25
336,146.82,82.26,5.43,37.66,39.55
337,150.42,79.43,3.75,29.59,24.78
338,162.39,81.49,5.45,51.23,34.29
339,147.69,79.63,5.11,40.08,28.97
340,151.92,79.22,4.4,29.91,23.49
341,151.36,89.34,7.67,56.34,43.61
342,151.43,88.24,5.69,40.64,35.53
343,145.1,80.14,6.78,45.12,37.07
344,150.27,73.39,4.72,32.51,26.8
345,149.89,76.39,5.14,37.76,32.85
346,149.21,76.47,5.01,37.28,32.26
347,158.68,91.3,10.36,61.94,62.64
348,155.55,77.99,6.65,50.61,46.12
349,157.56,76.1,6.31,45.14,39.81
350,163.01,78.61,10.15,62.75,58.6
351,165.42,92.59,14.91,70.8,62.88
352,154.37,68.47,8.7,49.88,55.21
353,165.36,81.56,14.29,80.25,70.06
354,158.11,67.83,10.36,61.56,68.84
355,171.5,76.99,13.92,68.67,72.52
356,151.17,73.07,14.02,70.27,76.28
357,179.57,74.46,13.48,70.53,70.51
358,170.27,70.52,12.89,70.47,82.92
359,180.36,61.91,9.29,56.16,59.98
360,170.08,57.1,7.3,44.28,49.06
361,176.07,71.27,12.41,66.23,73.6
362,175.2,71.62,10.19,64.37,66.53
363,153.26,67.98,8.98,63.33,58.9
364,165.64,71.32,11.19,70.92,73.23
365,167.45,79.33,11.16,75.52,63.09
366,159.84,77.07,10.06,71.71,59.88
367,150.49,64.14,5.25,46.38,38.2
368,167.17,70.01,7.39,51.79,50.47
369,171.05,67.66,6.24,53.14,42.62
370,167.78,64.96,6.11,47.72,43.78
371,172.29,64.32,4.61,37.04,32.37
372,169.41,64.39,5.49,44.82,38.38
373,170.27,72.46,5.12,49.18,38.56
374,166.33,69.26,3.7,32.94,29.4
375,167.33,79.96,6.82,55.36,42.67
376,164.23,72.32,3.36,34.34,26.34
377,159.39,65.33,3.61,37.21,25.97
378,149.3,63.72,3.84,36.31,25.43
379,168.18,72.99,4.21,39.29,31.87
380,157.23,70.59,3.77,36,24.29
381,161.63,82.12,4.63,41.71,39.16
382,155.91,71.94,3.3,28.34,25.12
383,157.76,77.99,4.04,37.05,29.09
384,152.9,79.02,3.81,33.94,44.28
385,151.85,83.07,3.91,42.15,30.82
386,150.46,81.49,4.25,40.85,35.48
387,150.34,82.91,3.79,37.84,32
388,159.82,87.11,4.66,43.8,42.21
389,163.78,92.02,6.78,62.74,50.72
390,157.61,85.54,4.18,42.47,35.68
391,151.77,84.15,5.39,48.16,42.33
392,157.36,82.93,5.74,49.94,38.64
393,158.49,81.01,4.1,38.29,31.34
394,151.92,82.98,4.89,44.95,35.67
395,156.32,86.47,6.11,51.84,46.25
396,144.07,73.07,4.54,40.32,28.99
397,150.65,78.81,5.64,48.14,40.95
398,164.04,78.61,6.85,53.57,43.52
399,148.77,83.8,8.85,63.22,55.96
400,163.03,80.63,7.74,60.94,62.68
401,157.31,75.79,8.04,58.45,55.11
402,156.87,76.87,10.01,61,58.2
403,157.8,75.78,8.65,52.43,46.54
404,166,78.31,12.47,77.37,70.18
405,149.27,70.57,10.97,65.31,63.47
406,165.07,83.35,10.48,67.2,54.2
407,162.01,79.17,14.92,91.47,79.33
408,170.25,69.94,13.49,82.66,84.63
409,167.9,66.75,10.22,63.16,61.3
410,177.24,66.62,6.3,42.45,45.23
411,176.87,62.94,8.14,56.25,49.39
412,176.61,64.65,9.58,52.73,55.44
413,181.55,63.45,8.65,54.36,52.89
414,193.6,63.91,8.19,51.66,49.81
415,198.44,69.26,11.06,73.48,70.13
416,178.52,68.55,8.57,53.7,51.2
417,181.61,59.6,5.77,36.86,33.42
418,184.95,68.71,7.66,54.99,51.38
419,174.39,68.35,7.32,56.95,44.75
420,169.18,63.91,4.99,38.69,29.73
421,171.12,64.59,6.03,51.05,40.61
422,170.99,78.16,6.54,50.95,38.54
423,169.71,71.89,5.82,53.65,33.52
424,167.25,68.35,4.22,38.61,27.99
425,161.64,65.57,4.94,47.33,33.03
426,163.33,65.92,3.56,36.43,28.45
427,168.26,71.91,4.97,50.64,34.62
428,161.16,68.16,3.89,36.3,28.5
429,154.05,73.9,4.47,38.29,36.68
430,163.29,83.73,5.26,46.61,38.51
431,160.81,79.38,4.39,40.91,36.46
432,149.2,78.17,4.39,48.33,31.67
433,158.78,77.3,3.65,34.88,29.37
434,152.75,83.43,4.48,38.23,45.1
435,157.02,83.93,4.84,46.65,37.34
436,160.29,87.74,5.1,53.37,40.83
437,151.69,77.66,3.28,38.7,26.23
438,155.77,80.67,3.88,39.01,41.39
439,171.71,91.38,5.49,51.37,54.79
440,157.03,83.42,5.03,41.3,48.53
441,156.56,86.22,4.84,41.48,49.52
442,161.92,86.73,4.15,36.39,48.24
443,167.6,83.13,3.56,30.67,38.98
444,155.98,82.4,4.69,39.84,48.3
445,158.16,81.07,5.21,44.72,50.38
446,165.98,86.72,4.51,42.99,46.98
447,158.66,79.65,4.99,42.99,37.37
448,157.21,73.96,3.88,32.15,33.96
449,179.42,97.15,8.84,63.71,42
450,181.7,91.51,8.61,60.13,83.31
451,155.9,80.58,5.52,39.92,56.31
452,163.47,86.14,10.58,70.17,80.37
453,152.63,77.45,7,49.35,44.22
454,168.78,74.57,7.42,50.88,56.81
455,166,77.18,11.23,67.91,65.55
456,165.25,65.59,7.58,46.97,54.19
457,176.79,67.1,11.33,66.6,59
458,163.69,62.08,6.25,43.54,34.21
459,177.44,67.25,12.28,73.46,70.47
460,173.5,61.28,8.23,41.07,45.77
461,182.44,68.06,12.34,68.02,58.69
462,197.87,61.26,11.95,68.04,68.59
463,196.86,62.92,10.19,68.64,69.01
464,181.13,64.12,8.85,52.98,41.98
465,182.41,62.73,7.62,51.09,57.91
466,171.37,60.33,8.52,55.17,40.87
467,177.01,58.26,7.85,55.38,49.12
468,185.62,56.32,5.12,37.64,36.65
469,179.49,70.43,12.87,81.05,97.94
470,176.45,61.93,6.76,58.27,40.38
471,173.84,62.81,5.89,44.39,41.46
472,171.04,66.1,6.69,52.31,52.88
473,174.41,76.3,7.13,53.89,66.78
474,169.34,58.65,4.22,40.28,33.82
475,164.71,64.99,4.96,44.64,36.4
476,166.29,66.89,4.23,36.97,35.32
477,175.5,72.41,4.27,40.21,41.24
478,172.16,72.35,4.88,39.82,37.87
479,160.43,71.47,4.83,37.61,45.54
480,166.86,74.14,4.23,39.38,37.26
481,159.47,65.76,3.08,26.54,35.95
482,180.94,83.13,4.91,43.69,42.48
483,163.95,73.7,3.17,29.71,42.84
484,183.78,76.09,3.75,29.64,34.24
485,157.19,69.63,2.8,26.37,37.36
486,169.09,86.79,4.83,37.24,39.51
487,172.14,86.49,4.32,40.93,54.25
488,148.09,78.49,3.63,36.61,37.89
489,162.09,84.7,4.97,40.94,48.03
490,156.14,80.75,3.82,37.85,43.51
491,162.77,84.53,4.12,37.87,48.69
492,145.33,85.34,4.47,38.63,54.48
493,160.65,83.88,4.02,35.99,49.22
494,145.32,84.91,4.26,36.52,50.34
495,154.78,84.63,4.94,41.57,55.97
496,158.39,78.23,2.52,27.64,35.5
497,157.51,86.6,6.06,50.18,62.81
498,154.15,79.98,3.5,34.71,38.61
499,168.09,90.93,5.8,56.15,63.6
500,171.03,93.43,8.37,60.13,57.53
501,173.38,90.16,6.6,53.72,54.97
502,154.42,80.38,4.34,40.01,47.22
503,149.22,82.37,7.75,53.77,69.14
504,160.56,75.35,4.74,41.22,42.17
505,152.43,72.29,5.76,43.78,45.59
506,165.14,75.68,8.45,54.61,70.72
507,168.43,73.33,8.24,52.93,57.58
508,171.34,70.52,8.01,54.36,62.61
